MP,Party,Seat,2nd home allowance,London supplement,Office,Staffing,Central stationery,Stationery & postage,IT provision,Staff cover,Communications,Travel,Total
"Heathcoat-Amory, Rt Hon David",CON,Wells,20930,0,15779,83029,1054,2780,734,0,5028,7505,136839
"Hemming, John",LD,Birmingham Yardley,21375,0,29031,82588,871,3768,1297,0,6313,4045,149288
"Henderson, Mr Doug",LAB,Newcastle upon Tyne North,23083,0,9710,89766,623,3182,639,0,7157,17700,151860
"Hendrick, Mr Mark",LAB,Preston,16226,0,19528,77544,477,360,1296,0,9469,15543,140443
"Hendry, Charles",CON,Wealden,23083,0,23703,81821,718,2327,1039,0,9721,5987,148399
"Hepburn, Mr Stephen",LAB,Jarrow,23056,0,20206,88408,321,916,1412,0,7972,14834,157125
"Heppell, Mr John",LAB,Nottingham East,23083,0,21313,81306,1249,5750,1337,0,4863,6637,145538
"Herbert, Mr Nick",CON,Arundel & South Downs,22720,0,18419,90034,648,2330,1039,0,323,5523,141036
"Hermon, Lady Sylvia",UUP,North Down,16999,0,12309,92017,362,2634,685,0,66,8932,134004
"Hesford, Stephen",LAB,Wirral West,21665,0,27038,83825,1638,5355,1129,0,9774,16442,166866
"Hewitt, Rt Hon Patricia",LAB,Leicester West,12470,0,25612,86185,1914,5084,1437,2022,9309,3504,147537
"Heyes, David",LAB,Ashton under Lyne,22861,0,19911,81934,260,283,1222,0,4218,11067,141756
"Hill, Rt Hon Keith",LAB,Streatham,0,2812,7735,93501,1185,3918,1193,0,9671,1136,121151
"Hillier, Meg",LAB,Hackney South & Shoreditch,0,2812,5725,90514,1661,5320,882,0,18645,928,126487
"Hoban, Mr Mark",CON,Fareham,21280,0,15979,85250,1010,3799,1139,0,8786,7393,144636
"Hodge, Rt Hon Margaret",LAB,Barking,0,2812,24767,85976,1869,4430,1199,0,11018,1184,133255
"Hodgson, Mrs Sharon",LAB,Gateshead East & Washington West,22942,0,17663,94456,893,1349,1153,2968,3794,18820,164038
"Hoey, Kate",LAB,Vauxhall,0,2812,4261,81010,1031,3637,1188,0,4552,2186,100677
"Hogg, Rt Hon Douglas",CON,Sleaford & North Hykeham,23083,0,20981,68822,1149,3841,1183,0,0,8843,127902
"Hollobone, Mr Philip",CON,Kettering,22999,0,7623,400,71,435,1029,0,7876,7304,47737
"Holloway, Mr Adam",CON,Gravesham,22587,0,13598,85166,957,2553,1009,0,21063,2602,149535
"Holmes, Paul",LD,Chesterfield,19811,0,21304,88248,1375,1630,1206,0,6349,8619,148542
"Hood, Mr Jim",LAB,Lanark and Hamilton East,19353,0,26267,78805,1011,1635,1061,0,9144,18984,156260
"Hoon, Rt Hon Geoff",LAB,Ashfield,23083,0,18263,65379,318,1414,1240,0,18651,9057,137405
"Hope, Phil",LAB,Corby,21361,0,20793,90656,1988,4914,1345,0,10116,6473,157646
"Hopkins, Kelvin",LAB,Luton North,1242,0,21298,88520,674,1821,1277,0,1183,5794,121809
"Horam, Mr John",CON,Orpington,11452,0,26440,69225,406,1199,656,0,10687,1910,121975
"Horwood, Mr Martin",LD,Cheltenham,21449,0,19753,92048,564,1439,1008,0,9837,6794,152892
"Hosie, Stewart",SNP,Dundee East,19367,0,18876,77501,1085,785,1128,0,10097,17819,146658
"Howard, Rt Hon Michael",CON,Folkestone & Hythe,18200,0,10883,78064,564,1874,1272,0,1348,2785,114990
"Howarth, David",LD,Cambridge,0,0,25970,89046,708,2180,1037,5043,3848,4637,132469
"Howarth, Mr Gerald",CON,Aldershot,23083,0,15994,88011,286,864,1141,0,15667,4971,150017
"Howarth, Rt Hon George",LAB,Knowsley North & Sefton East,13896,0,15094,92979,679,1688,1459,0,8634,15380,149809
"Howells, Dr Kim",LAB,Pontypridd,16013,0,5407,89853,304,1016,1212,0,5855,13531,133191
"Hoyle, Mr Lindsay",LAB,Chorley,20502,0,20782,81864,470,1290,1179,5133,2563,14902,148685
"Hughes, Rt Hon Beverley",LAB,Stretford & Urmston,23083,0,21546,90229,1745,4600,1345,0,8169,13338,164055
"Hughes, Simon",LD,Southwark North & Bermondsey,0,2812,17500,94343,1908,4207,1136,0,8325,934,131165
"Huhne, Chris",LD,Eastleigh,3970,0,20641,90637,971,1570,1103,0,9957,10336,139185
"Humble, Mrs Joan",LAB,Blackpool North & Fleetwood,23083,0,19205,89148,510,1246,1090,0,9510,15911,159703
"Hunt, Mr Jeremy",CON,Surrey South West,11610,0,14191,83445,204,407,1337,0,10668,6329,128191
"Hunter, Mark",LD,Cheadle,19789,0,18445,90316,1410,3422,1048,0,7396,7255,149081
"Hurd, Mr Nick",CON,Ruislip Northwood,0,2812,20025,80990,216,690,981,0,13323,2444,121481
"Hutton, Rt Hon John",LAB,Barrow & Furness,22980,0,18736,87082,876,1837,1207,0,734,12496,145948
"Iddon, Dr Brian",LAB,Bolton South East,17398,0,19181,78817,240,502,1218,0,0,6331,123687
"Illsley, Mr Eric",LAB,Barnsley Central,22869,0,14714,90662,227,340,956,0,5223,13707,148698
"Ingram, Rt Hon Adam",LAB,"East Kilbride, Strathaven and Lesmahagow  ",23083,0,15822,53017,644,1256,1193,0,536,25948,121499
"Irranca-Davies, Huw",LAB,Ogmore,19434,0,21637,91779,1260,4500,1335,0,4616,6147,150708
"Jack, Rt Hon Michael",CON,Fylde,22000,0,10873,82621,751,4858,1181,0,192,11840,134316
"Jackson, Glenda",LAB,Hampstead & Highgate,0,2812,12054,99554,970,2590,1052,12740,5021,0,136793
"Jackson, Mr Stewart",CON,Peterborough,23083,0,22621,68081,668,2485,1071,0,10820,8517,137346
"James, Mrs Sian C.",LAB,Swansea East,21070,0,18431,90619,818,1490,1290,0,4966,9467,148151
"Jenkin, Mr Bernard",CON,Essex North,23083,0,21066,88724,398,1160,1156,0,2222,4456,142265
"Jenkins, Mr Brian",LAB,Tamworth,8872,0,20593,82722,1262,4484,1417,0,6085,6119,131554
"Johnson, Mr Boris",CON,Henley,23083,0,14319,94240,513,1057,1222,0,5514,1339,141287
"Johnson, Ms Diana R.",LAB,Hull North,21640,0,20063,88052,1253,5478,987,8310,9872,10854,166509
"Johnson, Rt Hon Alan",LAB,Hull West & Hessle,11274,0,16346,84210,1299,4055,1139,0,4629,8759,131711
"Jones, Helen",LAB,Warrington North,23014,0,25756,85244,2196,4778,1353,0,9797,12964,165102
"Jones, Lynne",LAB,Birmingham Selly Oak,13528,0,11538,100254,1054,1609,1354,2967,2138,5540,139982
"Jones, Mr David",CON,Clwyd West,22632,0,18588,81955,497,2011,984,0,9806,11673,148146
"Jones, Mr Kevan",LAB,Durham North,23083,0,18785,90189,536,3300,1348,0,7600,15524,160365
"Jones, Mr Martyn",LAB,Clwyd South,23083,0,21712,67956,615,1973,1346,0,8817,8227,133729
"Jowell, Rt Hon Tessa",LAB,Dulwich & West Norwood,0,2812,10518,102028,1168,2262,1158,0,5405,1054,126405
"Joyce, Eric",LAB,Falkirk,22466,0,21392,87907,1003,3753,1545,0,8631,40637,187334
"Kaufman, Rt Hon Sir Gerald",LAB,Manchester Gorton,13558,0,10046,80531,849,2485,522,0,2065,15593,125649
"Kawczynski, Daniel",CON,Shrewsbury & Atcham,21890,0,20722,88093,255,780,992,0,13444,10561,156737
"Keeble, Ms Sally",LAB,Northampton North,18646,0,15536,85357,1303,2305,1129,0,16466,5970,146712
"Keeley, Ms Barbara",LAB,Worsley,23077,0,28884,70686,652,2092,1012,0,7401,17456,151260
"Keen, Alan",LAB,Feltham & Heston,19855,0,13449,97101,1543,3549,1125,0,9786,1568,147976
"Keen, Ann",LAB,Brentford & Isleworth,18338,0,7290,104508,1212,5497,1319,19142,10000,0,167306
"Keetch, Mr Paul",LD,Hereford,23083,0,27344,84273,675,1918,1353,0,5594,14915,159155
"Kelly, Rt Hon Ruth",LAB,Bolton West,13326,0,11951,80132,591,779,1061,0,59,7945,115844
"Kemp, Mr Fraser",LAB,Houghton & Washington East,23075,0,20508,77174,559,2611,959,0,788,9764,135438
"Kennedy, Rt Hon Charles",LD,"Ross, Skye & Lochaber",21287,0,20219,86023,594,1497,1176,0,9542,33894,174232
"Kennedy, Rt Hon Jane",LAB,Liverpool Wavertree,23083,0,20253,92947,537,765,1371,1563,405,11053,151977
"Key, Robert",CON,Salisbury,17611,0,16674,74139,445,1249,1108,0,5094,5317,121637
"Khan, Mr Sadiq",LAB,Tooting,0,2812,24666,86316,1918,5010,1166,0,10733,1590,134211
"Kidney, Mr David",LAB,Stafford,19680,0,21442,89082,1796,3774,1220,0,7481,6247,150722
"Kilfoyle, Mr Peter",LAB,Liverpool Walton,23083,0,14096,97565,431,850,1347,0,4030,14454,155856
"Kirkbride, Miss Julie",CON,Bromsgrove,23083,0,21274,81598,1360,4375,1187,0,4749,9539,147165
"Knight, Rt Hon Greg",CON,Yorkshire East,18305,0,11486,89029,861,4530,1247,0,1542,11158,138158
"Knight, Rt Hon Jim",LAB,Dorset South,23083,0,15947,94135,2281,4033,1154,0,9746,5608,155987
"Kramer, Susan",LD,Richmond Park,0,2812,22733,85193,1579,4878,1065,0,8779,0,127039
"Kumar, Dr Ashok",LAB,Middlesbrough South & Cleveland East,23083,0,12034,90972,769,2666,1109,0,10424,15328,156385
"Ladyman, Dr Stephen",LAB,Thanet South,22793,0,20444,72207,1279,2469,1417,0,10707,6243,137559
"Laing, Mrs Eleanor",CON,Epping Forest,23082,0,21032,83456,280,1184,1199,0,3572,778,134583
"Lait, Mrs Jacqui",CON,Beckenham,15478,0,18226,82505,764,3853,1208,0,6858,7024,135916
"Lamb, Norman",LD,Norfolk North,23083,0,22951,92443,1822,4527,1111,0,10000,7809,163746
"Lammy, Rt Hon David",LAB,Tottenham,0,2812,18828,93013,1427,4475,1310,0,9874,1485,133224
"Lancaster, Mr Mark",CON,Milton Keynes North East,22541,0,19848,88283,1149,3471,1223,0,9767,5337,151619
"Lansley, Mr Andrew",CON,Cambridgeshire South,21399,0,18067,93046,1180,3913,1178,305,9944,7379,156411
"Laws, Mr David",LD,Yeovil,19251,0,21425,90287,987,5186,1332,0,9907,8136,156511
"Laxton, Mr Bob",LAB,Derby North,19042,0,17846,87111,778,1878,1346,0,4319,5731,138051
"Lazarowicz, Mark",LAB,Edinburgh North and Leith,21774,0,21587,85364,2084,4789,1196,5289,11049,12039,165171
"Leech, Mr John",LD,Manchester Withington,12993,0,17380,94425,970,3820,1008,0,9772,8066,148434
"Leigh, Mr Edward",CON,Gainsborough,22840,0,16314,95530,224,501,1447,0,6270,10987,154113
"Lepper, David",LAB,Brighton Pavilion,11175,0,19265,90376,1185,5813,908,0,5118,1693,135533
"Letwin, Rt Hon Oliver",CON,Dorset West,20558,0,15517,91544,820,2442,1180,1684,11970,7044,152759
"Levitt, Tom",LAB,High Peak,22450,0,15304,86154,2025,4594,930,1561,17315,14287,164620
"Lewis, Dr Julian",CON,New Forest East,21604,0,16981,83049,590,1290,1345,0,331,5951,131141
"Lewis, Mr Ivan",LAB,Bury South,23083,0,21889,88986,2204,4519,1512,323,10730,12424,165670
"Liddell-Grainger, Mr Ian",CON,Bridgwater,23083,0,30256,86469,852,2134,1161,0,6538,15616,166109
"Lidington, Mr David",CON,Aylesbury,19470,0,11239,70833,627,2690,1283,0,5090,4659,115891
"Lilley, Rt Hon Peter",CON,Hitchin & Harpenden,23083,0,17520,94322,1695,5239,1396,0,3677,3055,149987
"Linton, Martin",LAB,Battersea,0,2812,20255,86957,1177,5819,1170,0,10357,2523,131070
"Lloyd, Tony",LAB,Manchester Central,19706,0,23043,88060,602,1509,1053,0,3931,16266,154170
"Llwyd, Mr Elfyn",PC,Meirionnydd Nant Conwy,14396,0,29976,77235,450,1830,1123,0,2198,17058,144266
"Lord, Sir Michael",CON,Suffolk Central & Ipswich North,23047,0,13154,73594,448,1858,1045,0,2294,6332,121772
"Loughton, Tim",CON,Worthing East & Shoreham,23083,0,17618,92413,556,1084,1148,0,1759,8314,145975
"Love, Mr Andy",LAB,Edmonton,23083,0,19418,87933,1952,5046,1413,0,7371,2541,148757
"Lucas, Ian",LAB,Wrexham,23083,0,21261,83671,705,1795,1219,0,5277,12310,149321
"Luff, Peter",CON,Worcestershire Mid,19694,0,20994,83194,1134,1790,1335,0,4784,6090,139015
"MacKinlay, Andrew",LAB,Thurrock,15761,0,17162,92054,708,2448,1344,0,2460,3537,135474
"MacNeil, Mr Angus",SNP,Na h-Eileanan an Iar,20228,0,16743,70096,70,770,1173,0,1036,38031,148147
"MacShane, Rt Hon Denis",LAB,Rotherham,23083,0,18438,81529,825,1504,1459,0,9680,16366,152884
"Mackay, Rt Hon Andrew",CON,Bracknell,22575,0,19303,75193,729,2188,1060,0,7821,7370,136239
"Maclean, Rt Hon David",CON,Penrith & The Border,22638,0,25542,77643,649,1530,1803,0,8297,17507,155609
"Mactaggart, Fiona",LAB,Slough,3392,0,11992,99820,1132,4728,1194,0,10031,2651,134940
"Mahmood, Mr Khalid",LAB,Birmingham Perry Barr,17900,0,15742,101894,204,895,1581,0,8936,17462,164614
"Main, Anne",CON,St Albans,22091,0,13246,87133,740,3318,1298,0,14204,4739,146769
"Malik, Mr Shahid",LAB,Dewsbury,23083,0,28358,78083,1167,4832,1259,0,10071,10402,157255
"Malins, Sir Humfrey",CON,Woking,10459,0,16009,75729,607,1853,743,0,7768,6324,119492
"Mallaber, Judy",LAB,Amber Valley,6854,0,10388,101456,1008,4380,1536,1600,10000,5856,143078
"Mann, John",LAB,Bassetlaw,13114,0,20655,89935,1767,5205,1439,0,9925,10893,152933
"Maples, Mr John",CON,,23000,0,18662,75306,634,2822,1155,0,5279,4397,131255
"Marris, Rob",LAB,Wolverhampton South West,11973,0,16056,89696,1311,1490,844,0,7596,3547,132513
"Marsden, Mr Gordon",LAB,Blackpool South,9739,0,18680,93164,667,2413,1436,1909,10000,14292,152300
"Marshall, Mr David",LAB,Glasgow East,20779,0,17032,75198,627,1170,934,0,59,15899,131698
"Marshall-Andrews, Mr Robert",LAB,Medway,19261,0,9885,79192,362,1240,1295,0,8842,1084,121161
"Martin, Rt Hon Michael J.",SPE,Glasgow North East,11750,0,5547,42669,85,550,761,0,0,13160,74522
"Martlew, Mr Eric",LAB,Carlisle,21632,0,19152,85106,677,1027,1258,0,5472,12475,146799
"Mates, Rt Hon Michael",CON,Hampshire East,23077,0,17471,83615,281,1388,1123,0,8646,5204,140805
"Maude, Rt Hon Francis",CON,Horsham,23083,0,18950,87784,554,1378,1111,0,7859,7683,148402
"May, Rt Hon Theresa",CON,Maidenhead,4288,0,6641,90983,511,1275,1962,0,10123,2364,118147
"McAvoy, Rt Hon Thomas",LAB,Rutherglen & Hamilton West,22150,0,17167,86913,191,425,841,0,8006,15283,150976
"McCabe, Stephen",LAB,Birmingham Hall Green,17109,0,23103,84464,1351,1945,1566,0,6416,10406,146360
"McCafferty, Chris",LAB,Calder Valley,19576,0,13326,98491,585,1505,1071,0,8693,9497,152744
"McCarthy, Kerry",LAB,Bristol East,21266,0,17395,94398,949,530,1322,3001,9314,4860,153035
"McCarthy-Fry, Sarah",LAB,Portsmouth North,16792,0,18240,87669,1368,3337,1005,0,9478,6609,144498
"McCartney, Rt Hon Ian",LAB,Makerfield,23083,0,17651,94193,858,3442,1109,0,604,14806,155746
"McCrea, Rev Dr William",DUP,South Antrim,20904,0,30247,86875,627,2027,1044,0,0,18128,159852
"McDonagh, Siobhain",LAB,Mitcham & Morden,0,2812,9487,92408,1378,5285,1429,0,19709,1794,134302
"McDonnell, Dr Alasdair",SDLP,South Belfast,23083,0,16967,94769,209,864,1202,0,9801,9935,156830
"McDonnell, John",LAB,Hayes & Harlington,0,2812,21150,90505,1878,4990,1281,0,8757,3807,135180
"McFadden, Rt Hon Pat",LAB,Wolverhampton South East,15269,0,19841,74725,1147,3080,1138,0,5617,7189,128006
"McFall, Rt Hon John",LAB,Dunbartonshire West,22832,0,16926,92230,628,1080,1220,0,9893,16312,161121
"McGovern, Mr Jim",LAB,Dundee West,22568,0,21015,90509,1483,4047,1223,0,10293,20851,171989
"McGrady, Mr Eddie",SDLP,South Down,9295,0,25537,86078,466,1140,1225,6757,10158,16246,156902
"McGuinness, Mr Martin",SF,Mid Ulster,21000,0,21231,89087,0,0,1127,0,0,3791,136236
"McGuire, Rt Hon Anne",LAB,Stirling,19595,0,19994,86623,1856,3640,1781,0,11490,17786,162765
"McIntosh, Miss Anne",CON,Vale of York,20382,0,12767,81071,710,1580,1163,0,2148,13295,133116
"McIsaac, Shona",LAB,Cleethorpes,15404,0,7749,91091,779,1915,1219,5190,14983,7464,145794
"McKechin, Ann",LAB,Glasgow North,13015,0,17612,83778,1278,5657,1270,0,9761,15164,147535
"McKenna, Rosemary",LAB,"Cumbernauld, Kilsyth and Kirkintilloch East   ",23058,0,22472,83781,326,485,1255,0,8615,27121,167113
"McLoughlin, Rt Hon Patrick",CON,Derbyshire West,22968,0,14620,80818,654,1020,1431,0,10262,10570,142343
"McNulty, Rt Hon Tony",LAB,Harrow East,12600,0,17892,90709,763,2243,981,0,9214,0,134402
"Meacher, Rt Hon Michael",LAB,Oldham West & Royton,8944,0,21961,89882,1076,3671,1297,0,4422,10322,141575
"Meale, Mr Alan",LAB,Mansfield,23083,0,20149,90505,493,1889,1264,0,6599,23290,167272
"Mercer, Patrick",CON,Newark,23083,0,12856,98969,280,1601,1261,0,2938,15079,156067
"Merron, Gillian",LAB,Lincoln,22641,0,13140,97565,1527,4461,1167,0,8110,7361,155972
"Michael, Rt Hon Alun",LAB,Cardiff South & Penarth,23083,0,15828,86400,591,1248,1891,0,9830,10647,149518
"Milburn, Rt Hon Alan",LAB,Darlington,23083,0,21313,90504,612,2173,1187,0,4988,18729,162589
"Miliband, Rt Hon David",LAB,South Shields,17387,0,14961,83809,423,1893,1248,0,10388,4884,134993
"Miliband, Rt Hon Edward",LAB,Doncaster North,7670,0,19344,90048,473,870,1290,0,4033,5754,129482
"Miller, Andrew",LAB,Ellesmere Port & Neston,17817,0,16407,84011,934,2993,1340,0,6095,17205,146802
"Miller, Mrs Maria",CON,Basingstoke,23000,0,19551,90601,916,2740,1228,0,6446,8406,152888
"Milton, Anne",CON,Guildford,0,0,11734,91316,872,2813,1065,0,10103,3749,121652
"Mitchell, Mr Andrew",CON,Sutton Coldfield,22831,0,20768,90012,1478,3107,1255,0,11022,7192,157665
"Mitchell, Mr Austin",LAB,Great Grimsby,23073,0,15452,90218,890,2722,1261,0,5562,16778,155956
"Moffat, Anne",LAB,East Lothian,23083,0,23533,88292,74,690,1194,0,9942,21447,168255
"Moffatt, Laura",LAB,Crawley,18387,0,20702,84751,1547,5206,1327,0,6000,4671,142591
"Mole, Chris",LAB,Ipswich,17973,0,15953,86202,1335,5255,1163,0,5079,4343,137303
"Moon, Mrs Madeleine",LAB,Bridgend,22902,0,18994,93206,910,2182,1023,0,10287,12225,161729
"Moore, Mr Michael",LD,"Berwickshire, Roxburgh and Selkirk",21563,0,18403,89873,734,3324,964,0,10007,18230,163098
"Moran, Margaret",LAB,Luton South,22343,0,17665,94101,1671,3492,1477,0,9548,10170,160467
"Morden, Jessica",LAB,Newport East,20703,0,27270,89512,1593,4708,1117,0,10191,11966,167060
"Morgan, Julie",LAB,Cardiff North,9754,0,17336,94508,901,3043,1319,0,9582,10058,146501
"Morley, Rt Hon Elliot",LAB,Scunthorpe,19140,0,18302,87457,465,1345,1216,0,6013,11435,145373
"Moss, Mr Malcolm",CON,Cambridgeshire North East,23059,0,20881,89351,876,1790,1134,0,5514,6365,148970
"Mountford, Kali",LAB,Colne Valley,23083,0,23791,85535,897,300,1261,0,5766,19382,160015
"Mudie, Mr George",LAB,Leeds East,9635,0,19648,92025,1171,3627,1238,0,9182,13613,150139
"Mulholland, Greg",LD,Leeds North West,23083,0,24371,84532,1642,3180,1174,0,10010,9366,157358
"Mullin, Mr Chris",LAB,Sunderland South,12942,0,18110,87528,430,1149,1050,1169,1519,5684,129581
"Mundell, David",CON,"Dumfriesshire, Clydesdale and Tweeddale  ",22177,0,28618,78977,1585,4743,1020,0,11597,20470,169187
"Munn, Meg",LAB,Sheffield Heeley,23083,0,14631,81047,1308,5565,1180,0,6311,11231,144356
"Murphy, Conor",SF,Newry and Armagh,21000,0,21293,85790,55,170,1413,0,0,2640,132361
"Murphy, Mr Denis",LAB,Wansbeck,20881,0,19336,90549,327,340,776,0,4505,16429,153143
"Murphy, Rt Hon Jim",LAB,Renfrewshire East,22801,0,18962,91886,560,1583,1435,0,11594,13721,162542
"Murphy, Rt Hon Paul",LAB,Torfaen,20536,0,17774,93617,472,827,1328,0,9433,6936,150923
"Murrison, Dr Andrew",CON,Westbury,20401,0,15755,83421,838,3463,1199,0,3387,7571,136035
"Naysmith, Dr Doug",LAB,Bristol North West,20808,0,18085,85325,461,2216,1168,0,5164,7884,141111
"Neill, Bob",CON,Bromley & Chislehurst,19108,0,17130,102055,880,2075,337,0,11209,4538,157332
"Newmark, Mr Brooks",CON,Braintree,20000,0,8618,98107,267,816,1082,0,7402,1978,138270
"Norris, Dan",LAB,Wansdyke,21078,0,18789,88243,4373,2625,1316,0,9201,9785,155410
"O'Brien, Mr Mike",LAB,Warwickshire North,8963,0,24234,87545,505,2031,1255,1269,10063,8495,144360
"O'Brien, Mr Stephen",CON,Eddisbury,23034,0,23426,88143,351,1504,1151,0,0,15418,153027
"O'Hara, Mr Edward",LAB,Knowsley South,20711,0,20914,90741,220,1151,1127,0,1014,11146,147024
"Oaten, Mr Mark",LD,Winchester,22993,0,24738,85778,772,1607,1332,0,9606,9085,155911
"Olner, Mr Bill",LAB,Nuneaton,23083,0,14075,84077,452,2037,1168,0,935,12183,138010
"Opik, Lembit",LD,Montgomeryshire,23083,0,26955,84471,691,1718,1346,7111,9523,9508,164406
"Osborne, Mr George",CON,Tatton,22994,0,18729,78767,639,3517,1307,0,9965,15097,151015
"Osborne, Sandra",LAB,"Ayr, Carrick & Cumnock",18816,0,18814,60432,367,1640,1229,918,8174,18311,128701
"Ottaway, Richard",CON,Croydon South,21481,0,15484,87151,767,1785,1257,0,14533,2915,145373
"Owen, Albert",LAB,Ynys Mn,22519,0,17215,76318,626,1380,1213,0,4102,18765,142138
"Paice, Mr James",CON,Cambridgeshire South East,23083,0,14574,89199,437,1922,1116,0,13144,8044,151519
"Paisley, Rt Hon Dr Ian",DUP,North Antrim,18136,0,26084,85760,305,1612,0,0,0,7668,139565
"Palmer, Dr Nick",LAB,Broxtowe,23057,0,19125,92719,450,1606,1295,189,9995,8893,157329
"Paterson, Mr Owen",CON,Shropshire North,22637,0,17776,87891,778,3169,1219,0,13287,17540,164297
"Pearson, Ian",LAB,Dudley South,23005,0,25243,86225,1637,4577,1446,0,8348,7244,157725
"Pelling, Mr Andrew",IND CON,Croydon Central,0,2812,10244,79226,787,1755,1140,0,10887,22,106873
"Penning, Mike",CON,Hemel Hempstead,23083,0,21572,83479,1525,4557,1199,0,8412,5660,149487
"Penrose, John",CON,,21211,0,23624,79996,866,2682,1234,0,9240,4847,143700
"Pickles, Mr Eric",CON,Brentwood & Ongar,13689,0,16579,88892,496,581,1146,0,9944,4502,135829
"Plaskitt, Mr James",LAB,Warwick & Leamington,22884,0,20571,90096,1953,5042,1349,0,9841,4816,156552
"Pope, Mr Greg",LAB,Hyndburn,22211,0,24662,86275,353,1282,1350,0,6666,18889,161688
"Pound, Stephen",LAB,Ealing North,0,2812,10565,101057,1157,2685,1108,1599,9854,7113,137950
"Prentice, Bridget",LAB,Lewisham East,0,2812,30198,80832,1087,5364,1298,0,8974,787,131352
"Prentice, Mr Gordon",LAB,Pendle,20313,0,15480,85966,953,3381,850,0,2349,7555,136847
"Prescott, Rt Hon John",LAB,Hull East,23083,0,10920,88563,674,1712,1251,0,0,15441,141644
"Price, Adam",PC,Carmarthen East & Dinefwr,22788,0,19065,90773,283,510,1440,0,4011,10794,149664
"Primarolo, Rt Hon Dawn",LAB,Bristol South,23083,0,18050,90500,581,1511,1192,0,9730,5969,150616
"Prisk, Mr Mark",CON,Hertford & Stortford,20733,0,18120,92176,433,1645,1156,103,7654,5175,147195
"Pritchard, Mark",CON,The Wrekin,23083,0,21708,76797,1220,4341,1103,0,18499,15076,161827
"Prosser, Gwyn",LAB,Dover,14611,0,20035,85218,778,1931,1308,0,5575,4627,134083
"Pugh, Dr John",LD,Southport,23083,0,18088,77412,654,1431,1142,0,6809,4736,133355
"Purchase, Mr Ken",LAB,Wolverhampton North East,14713,0,20752,90446,332,1030,1294,0,8074,7609,144250
"Purnell, Rt Hon James",LAB,Stalybridge & Hyde,21209,0,17959,76465,499,1249,1180,0,4634,6369,129564
"Rammell, Bill",LAB,Harlow,12928,0,21410,90333,1785,5102,1338,0,9970,1474,144340
"Randall, Mr John",CON,Uxbridge,0,2812,16659,70884,625,3551,1126,0,0,3246,98903
"Raynsford, Rt Hon Nick",LAB,Greenwich & Woolwich,0,2812,12668,91034,348,1367,1358,0,7975,0,117562
"Redwood, Rt Hon John",CON,Wokingham,22729,0,10427,55616,457,1841,1250,0,9686,3911,105917
"Reed, Mr Andy",LAB,Loughborough,22568,0,20933,89907,303,720,1176,0,8743,7254,151604
"Reed, Mr Jamie",LAB,Copeland,22516,0,23508,91022,690,2210,1051,0,9354,19236,169587
"Reid, Mr Alan",LD,Argyll and Bute,15489,0,17536,68598,591,990,1363,0,13690,15670,133927
"Reid, Rt Hon John",LAB,Airdrie and Shotts,23083,0,29979,85497,358,1261,1488,0,4259,14284,160209
"Rennie, Willie",LD,Dunfermline & West Fife,21220,0,26629,82164,952,2870,1169,0,12897,15301,163202
"Rifkind, Rt Hon Sir Malcolm",CON,Kensington & Chelsea,0,2812,12509,91048,479,2641,913,0,4188,5095,119685
"Riordan, Mrs Linda",LAB,Halifax,23083,0,17940,88823,1182,2921,1264,0,3336,16019,154568
"Robathan, Mr Andrew",CON,Blaby,23083,0,11934,64599,233,1237,1278,0,0,7230,109594
"Robertson, Angus",SNP,Moray,23082,0,21696,81953,511,430,1372,0,9215,27620,165879
"Robertson, Hugh",CON,Faversham & Kent Mid,23083,0,16605,75733,291,510,1184,0,0,6414,123820
"Robertson, John",LAB,Glasgow North West,20809,0,19715,82942,605,1519,1272,0,6805,18875,152542
"Robertson, Mr Laurence",CON,Tewkesbury,23083,0,30374,81454,487,1696,1229,0,10015,14411,162749
"Robinson, Mr Geoffrey",LAB,Coventry North West,0,0,9576,87806,814,2295,885,0,4153,21534,127063
"Robinson, Mrs Iris",DUP,Strangford,20478,0,8079,78175,879,3192,1382,0,1315,11973,125473
"Robinson, Rt Hon Peter",DUP,East Belfast,19864,0,15301,72870,288,1355,1349,0,3136,14011,128174
"Rogerson, Dan",LD,Cornwall North,22931,0,13432,87905,754,2055,966,305,9780,12681,150809
"Rooney, Mr Terry",LAB,Bradford North,13980,0,20791,81933,1161,2685,1265,0,1273,14890,137978
"Rosindell, Andrew",CON,Romford,23083,0,20188,90885,1567,5315,1332,0,9914,4548,156832
"Rowen, Paul",LD,Rochdale,23083,0,22994,88468,1328,4591,1128,0,10324,12223,164139
"Roy, Mr Frank",LAB,Motherwell & Wishaw,21365,0,19052,89612,693,1208,1165,0,7580,17962,158637
"Ruane, Chris",LAB,Vale of Clwyd,23076,0,17548,94240,1030,5441,1345,0,10000,7255,159935
"Ruddock, Joan",LAB,Lewisham Deptford,0,2812,22852,88964,1179,4938,1127,0,8894,471,131237
"Ruffley, Mr David",CON,Bury St Edmunds,13760,0,22152,94781,1031,2046,1418,0,9019,7734,151941
"Russell, Bob",LD,Colchester,10963,0,20737,91105,1030,3032,1350,0,10000,6156,144373
"Russell, Christine",LAB,City of Chester,21359,0,25396,86447,1179,3038,1219,0,7567,10544,156749
"Ryan, Rt Hon Joan",LAB,Enfield North,21658,0,18719,91993,1612,5263,1048,0,10940,721,151954
